,g,e,o,r,w,a,s,h,i,n,t,j,d,m,f,q,u,c,y,k,v,b,l,p,z,x,one,nine,two,zero
DocFreq,221,221,221,221,221,214,221,221,214,211,214,211,203,214,214,40,221,211,194,176,203,221,214,68,61,187,203,203,203,203
CollectionFreq,64,169,173,165,66,169,142,115,103,170,100,79,113,84,46,4,47,63,46,35,43,41,104,8,1,5,1,3,1,3
